"last_name, first_name","player_id","year","on_base_plus_slg","babip","xbadiff","xslgdiff","wobadiff"
"Gallo, Joey","608336","2022","0.637",".219","-0.007","-0.014","-0.008"
"Kelly, Carson","608348","2022","0.616",".247","-0.014","-0.011","-0.013"
"Seager, Corey","608369","2022","0.772",".242","-0.038","-0.055","-0.041"
"Winker, Jesse","608385","2022","0.688",".251","-0.030","-0.059","-0.032"
"Reyes, Franmil","614177","2022","0.638",".307",".018",".007",".005"
"Swanson, Dansby","621020","2022","0.776",".348",".020","-0.014",".000"
"Newman, Kevin","621028","2022","0.688",".322",".014",".040",".018"
"Taylor, Chris","621035","2022","0.677",".336",".026",".033",".021"
"Correa, Carlos","621043","2022","0.833",".339",".015","-0.017","-0.001"
"Taylor, Tyrone","621438","2022","0.728",".272","-0.003",".030",".007"
"Buxton, Byron","621439","2022","0.832",".244","-0.018",".017","-0.002"
"Ward, Taylor","621493","2022","0.833",".325",".013","-0.001",".001"
"Nido, Tomás","621512","2022","0.600",".314",".001","-0.050","-0.019"
"Wisdom, Patrick","621550","2022","0.724",".274",".019",".046",".021"
"Wendle, Joey","621563","2022","0.657",".293",".009",".029",".013"
"Olson, Matt","621566","2022","0.802",".274","-0.008",".010","-0.003"
"Margot, Manuel","622534","2022","0.700",".332",".010",".018",".009"
"Reyes, Victor","622682","2022","0.651",".322","-0.007","-0.006","-0.008"
"Mateo, Jorge","622761","2022","0.646",".286","-0.001",".035",".009"
"Velazquez, Andrew","623205","2022","0.540",".274","-0.006","-0.008","-0.007"
"Ramírez, Harold","623912","2022","0.747",".350",".025",".022",".017"
"Santander, Anthony","623993","2022","0.773",".248","-0.017","-0.016","-0.016"
"Alonso, Pete","624413","2022","0.870",".279",".009",".032",".013"
"Arroyo, Christian","624414","2022","0.736",".326","-0.006","-0.016","-0.011"
"Biggio, Cavan","624415","2022","0.668",".275",".009",".031",".014"
"Frazier, Adam","624428","2022","0.612",".268","-0.024","-0.028","-0.023"
"Trevino, Jose","624431","2022","0.671",".274",".009",".024",".012"
"Gordon, Nick","624503","2022","0.743",".340",".011","-0.037","-0.012"
"Soler, Jorge","624585","2022","0.695",".256","-0.019","-0.021","-0.017"
"Hernandez, Yadiel","628450","2022","0.722",".326",".022","-0.001",".002"
"Cronenworth, Jake","630105","2022","0.722",".275",".018",".034",".015"
"Pinder, Chad","640461","2022","0.648",".313",".000",".005",".001"
"Anderson, Tim","641313","2022","0.734",".347",".004","-0.037","-0.013"
"Bellinger, Cody","641355","2022","0.654",".255","-0.003",".035",".006"
"Crawford, J.P.","641487","2022","0.675",".275","-0.012","-0.001","-0.009"
"Dozier, Hunter","641531","2022","0.679",".298","-0.005",".000","-0.003"
"Guillorme, Luis","641645","2022","0.691",".317",".018",".005",".009"
"Heim, Jonah","641680","2022","0.697",".249",".003",".038",".015"
"Mancini III, Trey","641820","2022","0.710",".286","-0.006","-0.019","-0.015"
"McMahon, Ryan","641857","2022","0.741",".311","-0.001","-0.009","-0.004"
"O'Neill, Tyler","641933","2022","0.700",".277","-0.009","-0.027","-0.021"
"Tellez, Rowdy","642133","2022","0.767",".215","-0.033","-0.018","-0.022"
"Siri, Jose","642350","2022","0.607",".305",".006",".016",".007"
"Rosario, Amed","642708","2022","0.715",".326",".007",".007",".001"
"Adames, Willy","642715","2022","0.756",".278",".000",".007",".002"
"Estrada, Thairo","642731","2022","0.722",".290",".014",".048",".018"
"Benintendi, Andrew","643217","2022","0.772",".352",".031","-0.008",".008"
"Cooper, Garrett","643265","2022","0.752",".340",".001","-0.021","-0.011"
"Kemp, Tony","643393","2022","0.641",".259",".016",".043",".020"
"Kiner-Falefa, Isiah","643396","2022","0.641",".296","-0.001","-0.006","-0.005"
"McNeil, Jeff","643446","2022","0.836",".353",".046",".065",".042"
"Robles, Victor","645302","2022","0.584",".292",".021",".031",".016"
"Devers, Rafael","646240","2022","0.879",".329",".013",".024",".012"
"Naylor, Josh","647304","2022","0.771",".268","-0.001",".022",".004"
"Toro, Abraham","647351","2022","0.563",".198","-0.041","-0.048","-0.038"
"Díaz, Aledmys","649557","2022","0.690",".256","-0.018",".007","-0.007"
"Urías, Luis","649966","2022","0.739",".274",".001",".006",".001"
"Arraez, Luis","650333","2022","0.795",".331",".028",".012",".017"
"Jiménez, Eloy","650391","2022","0.858",".337",".029","-0.012",".005"
"Torres, Gleyber","650402","2022","0.761",".295",".013",".010",".009"
"Castro, Willi","650489","2022","0.651",".288","-0.016",".032","-0.001"
"Díaz, Yandy","650490","2022","0.824",".323",".008","-0.001",".001"
"De La Cruz, Bryan","650559","2022","0.726",".304","-0.035","-0.066","-0.042"
"Rengifo, Luis","650859","2022","0.723",".285",".010",".037",".018"
"Chapman, Matt","656305","2022","0.757",".277","-0.005","-0.007","-0.010"
"Chavis, Michael","656308","2022","0.654",".294",".012",".053",".021"
"Hoskins, Rhys","656555","2022","0.794",".292",".007",".017",".007"
"Joe, Connor","656582","2022","0.697",".296","-0.003",".019",".003"
"Mullins II, Cedric","656775","2022","0.721",".299",".026",".054",".027"
"Rivera, Emmanuel","656896","2022","0.701",".275","-0.005","-0.001","-0.004"
"Schwarber, Kyle","656941","2022","0.827",".240","-0.019","-0.031","-0.020"
"Thomas, Lane","657041","2022","0.705",".291",".019",".047",".022"
"Verdugo, Alex","657077","2022","0.733",".309",".002","-0.023","-0.010"
"Laureano, Ramón","657656","2022","0.663",".262","-0.008","-0.026","-0.013"
"Sheets, Gavin","657757","2022","0.706",".272",".017",".052",".025"
"Moncada, Yoán","660162","2022","0.626",".265","-0.008","-0.021","-0.014"
"Ohtani, Shohei","660271","2022","0.875",".320","-0.002","-0.030","-0.013"
"Acuña Jr., Ronald","660670","2022","0.764",".331","-0.006","-0.073","-0.031"
"Ruiz, Keibert","660688","2022","0.673",".271","-0.026","-0.043","-0.029"
"Gonzalez, Oscar","660757","2022","0.788",".345",".017",".039",".019"
"Sánchez, Jesús","660821","2022","0.683",".258","-0.008",".024",".003"
"Contreras, William","661388","2022","0.860",".344",".035",".027",".023"
"Varsho, Daulton","662139","2022","0.745",".269",".022",".054",".025"
"Nootbaar, Lars","663457","2022","0.788",".248","-0.019",".034","-0.004"
"Hoerner, Nico","663538","2022","0.737",".300",".011",".043",".019"
"Riley, Austin","663586","2022","0.877",".315",".002","-0.003","-0.001"
"Mountcastle, Ryan","663624","2022","0.728",".303","-0.027","-0.086","-0.046"
"Hayes, Ke'Bryan","663647","2022","0.659",".307","-0.002","-0.005","-0.006"
"Tucker, Kyle","663656","2022","0.808",".261","-0.005","-0.004","-0.005"
"India, Jonathan","663697","2022","0.705",".305",".011",".025",".013"
"Raleigh, Cal","663728","2022","0.773",".226","-0.005",".028",".006"
"Grisham, Trent","663757","2022","0.625",".231","-0.021","-0.017","-0.016"
"Vierling, Matt","663837","2022","0.648",".290","-0.029","-0.053","-0.039"
"Rodgers, Brendan","663898","2022","0.733",".304",".001",".004","-0.005"
"Lowe, Nathaniel","663993","2022","0.850",".363",".027",".033",".024"
"Happ, Ian","664023","2022","0.782",".336",".032",".061",".033"
"France, Ty","664034","2022","0.774",".296",".012",".039",".016"
"Bader, Harrison","664056","2022","0.650",".300",".020",".039",".019"
"Straw, Myles","664702","2022","0.564",".261","-0.015","-0.028","-0.018"
"Bohm, Alec","664761","2022","0.713",".319","-0.010","-0.038","-0.023"
"Brown, Seth","664913","2022","0.749",".273","-0.021","-0.010","-0.015"
"McCarthy, Jake","664983","2022","0.769",".349",".034",".070",".039"
"Walsh, Jared","665120","2022","0.643",".281","-0.006",".006","-0.002"
"Peña, Jeremy","665161","2022","0.715",".298",".001",".024",".005"
"Celestino, Gilberto","665482","2022","0.615",".310",".019",".008",".010"
"Guerrero Jr., Vladimir","665489","2022","0.819",".289","-0.007",".016",".000"
"Soto, Juan","665742","2022","0.853",".249","-0.024","-0.049","-0.025"
"Taveras, Leody","665750","2022","0.675",".344",".035",".048",".030"
