player_id,"last_name, first_name",on_base_plus_slg (2021),on_base_plus_slg (2022),on_base_plus_slg (2023),on_base_plus_slg (2024),babip (2021),babip (2022),babip (2023),babip (2024),xbadiff (2021),xbadiff (2022),xbadiff (2023),xbadiff (2024),xslgdiff (2021),xslgdiff (2022),xslgdiff (2023),xslgdiff (2024),wobadiff (2021),wobadiff (2022),wobadiff (2023),wobadiff (2024),ops_change 2021-2022,ops_change 2022-2023,ops_change 2023-2024
623993,"Santander, Anthony",0.719,0.773,0.797,0.814,0.275,0.248,0.299,0.225,-0.028,-0.017,0.02,0.007,-0.013,-0.016,0.046,0.061,-0.021,-0.016,0.021,0.021,7.510431154381081,3.1047865459249646,2.132998745294845
624413,"Alonso, Pete",0.863,0.87,0.822,0.788,0.274,0.279,0.205,0.276,-0.009,0.009,-0.029,-0.002,-0.023,0.032,-0.023,-0.002,-0.014,0.013,-0.022,-0.003,0.8111239860950192,-5.517241379310345,-4.136253041362526
624585,"Soler, Jorge",0.748,0.695,0.853,0.78,0.25,0.256,0.272,0.293,-0.027,-0.019,-0.012,-0.003,-0.062,-0.021,-0.02,-0.005,-0.036,-0.017,-0.013,-0.006,-7.085561497326209,22.733812949640296,-8.558030480656498
630105,"Cronenworth, Jake",0.8,0.722,0.69,0.714,0.283,0.275,0.267,0.274,-0.01,0.018,-0.009,-0.018,0.017,0.034,0.008,-0.03,-0.003,0.015,-0.004,-0.02,-9.750000000000004,-4.432132963988922,3.4782608695652195
641355,"Bellinger, Cody",0.542,0.654,0.881,0.751,0.196,0.255,0.319,0.287,-0.044,-0.003,0.039,0.024,-0.056,0.035,0.091,0.035,-0.044,0.006,0.043,0.021,20.664206642066407,34.70948012232415,-14.755959137343932
641487,"Crawford, J.P.",0.714,0.675,0.818,0.625,0.32,0.275,0.314,0.248,0.016,-0.012,0.006,-0.025,0.037,-0.001,0.054,-0.042,0.016,-0.009,0.019,-0.026,-5.462184873949571,21.185185185185173,-23.594132029339853
641857,"McMahon, Ryan",0.78,0.741,0.753,0.722,0.306,0.311,0.326,0.32,0.01,-0.001,-0.005,-0.001,0.023,-0.009,-0.014,-0.017,0.009,-0.004,-0.01,-0.01,-5.000000000000004,1.6194331983805599,-4.116865869853925
642133,"Tellez, Rowdy",0.719,0.767,0.667,0.691,0.275,0.215,0.249,0.28,-0.023,-0.033,-0.023,0.006,-0.057,-0.018,0.002,-0.002,-0.034,-0.022,-0.018,-0.001,6.675938803894299,-13.037809647979138,3.598200899550208
642708,"Rosario, Amed",0.73,0.715,0.683,0.686,0.34,0.326,0.314,0.35,0.015,0.007,-0.008,0.03,0.041,0.007,-0.002,0.021,0.015,0.001,-0.008,0.019,-2.0547945205479423,-4.475524475524462,0.43923865300146137
642715,"Adames, Willy",0.818,0.756,0.717,0.793,0.331,0.278,0.259,0.297,0.026,0.0,-0.023,0.008,0.043,0.007,-0.029,0.001,0.024,0.002,-0.024,0.003,-7.579462102689483,-5.158730158730163,10.599721059972111
643217,"Benintendi, Andrew",0.766,0.772,0.682,0.685,0.309,0.352,0.301,0.245,0.015,0.031,-0.008,-0.014,-0.014,-0.008,-0.019,0.007,-0.003,0.008,-0.011,-0.005,0.7832898172323688,-11.658031088082899,0.4398826979472137
643396,"Kiner-Falefa, Isiah",0.669,0.641,0.646,0.682,0.304,0.296,0.289,0.307,0.004,-0.001,-0.012,0.018,0.008,-0.006,-0.008,0.03,0.001,-0.005,-0.009,0.016,-4.185351270553072,0.7800312012480548,5.572755417956654
643446,"McNeil, Jeff",0.679,0.836,0.711,0.692,0.28,0.353,0.288,0.256,-0.006,0.046,0.019,0.003,-0.027,0.065,0.038,0.048,-0.014,0.042,0.02,0.016,23.122238586156097,-14.952153110047849,-2.672292545710264
646240,"Devers, Rafael",0.89,0.879,0.851,0.87,0.307,0.329,0.292,0.323,-0.012,0.013,-0.011,0.0,-0.029,0.024,-0.039,0.007,-0.021,0.012,-0.021,0.0,-1.2359550561797716,-3.185437997724694,2.2326674500587673
650333,"Arraez, Luis",0.733,0.795,0.862,0.738,0.323,0.331,0.362,0.324,-0.001,0.028,0.025,0.004,-0.035,0.012,0.011,-0.008,-0.016,0.017,0.015,-0.002,8.458390177353348,8.427672955974842,-14.385150812064962
650402,"Torres, Gleyber",0.697,0.761,0.8,0.708,0.314,0.295,0.288,0.306,-0.006,0.013,-0.009,0.017,-0.057,0.01,-0.025,0.01,-0.024,0.009,-0.016,0.006,9.182209469153513,5.124835742444156,-11.50000000000001
650489,"Castro, Willi",0.624,0.651,0.75,0.716,0.275,0.288,0.328,0.315,-0.019,-0.016,0.026,0.003,-0.007,0.032,0.05,0.004,-0.015,-0.001,0.026,-0.003,4.326923076923084,15.207373271889391,-4.533333333333333
650490,"Díaz, Yandy",0.74,0.824,0.932,0.755,0.286,0.323,0.367,0.314,0.002,0.008,0.025,0.004,-0.012,-0.001,0.035,-0.009,-0.007,0.001,0.019,-0.005,11.351351351351347,13.10679611650487,-18.991416309012877
656305,"Chapman, Matt",0.717,0.757,0.754,0.791,0.272,0.277,0.319,0.293,0.001,-0.005,0.01,-0.003,-0.02,-0.007,-0.033,0.012,-0.01,-0.01,-0.009,-0.001,5.57880055788007,-0.39630118890356947,4.907161803713533
656775,"Mullins II, Cedric",0.878,0.721,0.721,0.71,0.322,0.299,0.271,0.261,0.019,0.026,0.006,0.007,0.071,0.054,0.06,0.05,0.028,0.027,0.02,0.019,-17.88154897494305,0.0,-1.5256588072122046
656941,"Schwarber, Kyle",0.928,0.827,0.817,0.851,0.306,0.24,0.209,0.301,0.001,-0.019,-0.023,-0.008,-0.011,-0.031,-0.011,-0.027,-0.007,-0.02,-0.014,-0.014,-10.883620689655181,-1.209189842805325,4.1615667074663465
657077,"Verdugo, Alex",0.777,0.733,0.745,0.647,0.327,0.309,0.294,0.253,0.004,0.002,-0.014,-0.017,-0.02,-0.023,0.004,-0.017,-0.008,-0.01,-0.009,-0.019,-5.66280566280567,1.6371077762619368,-13.154362416107379
657656,"Laureano, Ramón",0.76,0.663,0.675,0.748,0.304,0.262,0.301,0.35,0.001,-0.008,-0.008,0.024,-0.016,-0.026,-0.008,0.007,-0.008,-0.013,-0.009,0.013,-12.763157894736842,1.8099547511312153,10.81481481481481
