"last_name, first_name","player_id","year","on_base_plus_slg","xbadiff","xslgdiff","wobadiff"
"O'Hearn, Ryan","656811","2023","0.802",".025",".016",".015"
"Schwarber, Kyle","656941","2023","0.817","-0.023","-0.011","-0.014"
"Thomas, Lane","657041","2023","0.783",".013",".032",".015"
"Verdugo, Alex","657077","2023","0.745","-0.014",".004","-0.009"
"Wong, Connor","657136","2023","0.672",".024",".024",".018"
"DeJong, Paul","657557","2023","0.613","-0.012","-0.006","-0.012"
"Laureano, Ramón","657656","2023","0.675","-0.008","-0.008","-0.009"
"Sheets, Gavin","657757","2023","0.598","-0.007","-0.008","-0.006"
"Olivares, Edward","658668","2023","0.769","-0.007","-0.004","-0.009"
"Moncada, Yoán","660162","2023","0.730",".003","-0.001",".001"
"Ohtani, Shohei","660271","2023","1.066",".009",".016",".006"
"Acuña Jr., Ronald","660670","2023","1.012","-0.020","-0.064","-0.032"
"Ruiz, Keibert","660688","2023","0.717","-0.014","-0.016","-0.012"
"Montero, Elehuris","660707","2023","0.716",".042",".111",".052"
"Sánchez, Jesús","660821","2023","0.777","-0.012","-0.023","-0.016"
"Contreras, William","661388","2023","0.824",".034",".024",".022"
"Varsho, Daulton","662139","2023","0.674","-0.012","-0.005","-0.009"
"Nootbaar, Lars","663457","2023","0.785","-0.004","-0.018","-0.012"
"Hoerner, Nico","663538","2023","0.729",".010",".027",".011"
"Riley, Austin","663586","2023","0.861",".008",".000","-0.002"
"Mountcastle, Ryan","663624","2023","0.780","-0.003","-0.051","-0.023"
"Hayes, Ke'Bryan","663647","2023","0.762",".001",".017",".003"
"Tucker, Kyle","663656","2023","0.886","-0.008","-0.013","-0.014"
"India, Jonathan","663697","2023","0.745","-0.008","-0.017","-0.012"
"Raleigh, Cal","663728","2023","0.762","-0.001","-0.010","-0.004"
"Fortes, Nick","663743","2023","0.562","-0.006","-0.025","-0.011"
"Grisham, Trent","663757","2023","0.667","-0.020","-0.044","-0.023"
"Vierling, Matt","663837","2023","0.717","-0.005","-0.008","-0.007"
"Stephenson, Tyler","663886","2023","0.695",".000","-0.019","-0.009"
"Lowe, Nathaniel","663993","2023","0.774","-0.001",".008",".001"
"Happ, Ian","664023","2023","0.791","-0.006",".004","-0.005"
"France, Ty","664034","2023","0.703","-0.020","-0.054","-0.027"
"Lowe, Brandon","664040","2023","0.771","-0.004","-0.006","-0.007"
"Bader, Harrison","664056","2023","0.622","-0.002","-0.027","-0.017"
"Straw, Myles","664702","2023","0.598","-0.001","-0.003","-0.004"
"Isbel, Kyle","664728","2023","0.662","-0.007",".005","-0.003"
"Bohm, Alec","664761","2023","0.764","-0.016","-0.016","-0.014"
"Wade Jr., LaMonte","664774","2023","0.790","-0.005","-0.033","-0.013"
"Brown, Seth","664913","2023","0.691","-0.015","-0.046","-0.024"
"McCarthy, Jake","664983","2023","0.644",".001","-0.005","-0.004"
